a2 95.18785525622359[nm]
c2 70.58119500045592[nm]
b2 45.97453474468826[nm]
x2 312.06811043147627[nm]
y2 39.10563729542073[nm]
z2 93.95182400910493[nm]
theta2 -6.556946498163389[degrees]
volume2 1293827.8667807013[nm^3]
a3 94.13947140075923[nm]
c3 89.12877355678364[nm]
b3 84.11807571280806[nm]
x3 431.41220087630603[nm]
y3 132.5862262667116[nm]
z3 93.95182400910493[nm]
theta3 -53.9239884436314[degrees]
volume3 2956430.1622030493[nm^3]
a4 86.52747413809291[nm]
c4 85.56087327906661[nm]
b4 84.5942724200403[nm]
x4 269.57756916996044[nm]
y4 176.18577075098813[nm]
z4 93.95182400910493[nm]
theta4 -26.886934192476712[degrees]
volume4 2623365.5045057456[nm^3]
a5 88.27800219237805[nm]
c5 86.52333720128738[nm]
b5 84.7686722101967[nm]
x5 146.20746691871457[nm]
y5 306.8407372400756[nm]
z5 93.95182400910493[nm]
theta5 -52.00126755749534[degrees]
volume5 2712125.286119601[nm^3]
a6 91.1035576860881[nm]
c6 80.1684004502053[nm]
b6 69.23324321432251[nm]
x6 476.3776189899479[nm]
y6 377.9035969480441[nm]
z6 93.95182400910493[nm]
theta6 -109.51587300958269[degrees]
volume6 2118077.472818833[nm^3]
a7 94.5152291666451[nm]
c7 92.95182400910493[nm]
b7 91.38841885156475[nm]
x7 297.0263572876774[nm]
y7 396.6208605541789[nm]
z7 93.95182400910493[nm]
theta7 -149.60127228583394[degrees]
volume7 3363097.675878676[nm^3]
