a1 586.6845700393204[nm]
b1 385.7222887360514[nm]
c1 491.1145751390767[nm]
x1 1011.0425525358969[nm]
y1 468.29358476613055[nm]
z1 491.11467513907667[nm]
theta1 -135.9495668564358[degrees]
a2 528.391658903604[nm]
b2 86.1471947496685[nm]
c2 307.2694268266363[nm]
x2 1712.6664510216185[nm]
y2 108.84683810448003[nm]
z2 318.26952682663625[nm]
theta2 -173.96471760338775[degrees]
a3 770.9584483046708[nm]
b3 183.35320692882271[nm]
c3 477.15582761674676[nm]
x3 6717.96395325807[nm]
y3 556.563534504711[nm]
z3 485.15592761674674[nm]
theta3 -45.36493633573065[degrees]
a4 395.0270649337566[nm]
b4 116.24888453231222[nm]
c4 255.6379747330344[nm]
x4 768.551508753409[nm]
y4 1403.3056215360255[nm]
z4 578.6380747330344[nm]
theta4 -35.45961819515736[degrees]
a5 247.59863493001006[nm]
b5 200.4287456897474[nm]
c5 250[nm]
x5 6079.338954338955[nm]
y5 1488.6039886039887[nm]
z5 511.0001[nm]
theta5 -76.48343189120868[degrees]
a6 489.2973181709389[nm]
b6 432.9446361327326[nm]
c6 461.12097715183575[nm]
x6 7798.030752392049[nm]
y6 2633.6766938530523[nm]
z6 470.1210771518357[nm]
theta6 -159.5074052301297[degrees]
a7 250[nm]
b7 250[nm]
c7 250.0[nm]
x7 9007.87174414771[nm]
y7 4305.283547642598[nm]
z7 689.0001[nm]
theta7 0[degrees]
a8 335.64814814814815[nm]
b8 253.24751158935456[nm]
c8 294.44782986875134[nm]
x8 5808.293650793651[nm]
y8 3909.3518518518517[nm]
z8 367.4479298687513[nm]
theta8 -53.13010235415598[degrees]
a9 416.38364873698885[nm]
b9 295.08214777736026[nm]
c9 355.73289825717455[nm]
x9 7538.177083333333[nm]
y9 4035.2199074074074[nm]
z9 413.73299825717453[nm]
theta9 -41.84515713520803[degrees]
a10 250[nm]
b10 250[nm]
c10 250.0[nm]
x10 5293.070185513334[nm]
y10 4515.945286692482[nm]
z10 357.0001[nm]
theta10 0[degrees]
a11 250[nm]
b11 250[nm]
c11 250.0[nm]
x11 4790.755370698518[nm]
y11 5062.241582988778[nm]
z11 392.0001[nm]
theta11 0[degrees]
a12 250[nm]
b12 250[nm]
c12 250.0[nm]
x12 3604.6387055001646[nm]
y12 4773.936906793617[nm]
z12 718.0001[nm]
theta12 0[degrees]
a13 250[nm]
b13 250[nm]
c13 250.0[nm]
x13 3698.3887055001646[nm]
y13 5341.066536423246[nm]
z13 575.0001[nm]
theta13 0[degrees]
a14 250[nm]
b14 250[nm]
c14 250.0[nm]
x14 3792.1387055001646[nm]
y14 5908.196166052877[nm]
z14 384.0001[nm]
theta14 0[degrees]
a15 250[nm]
b15 250[nm]
c15 250.0[nm]
x15 3885.888705500165[nm]
y15 6475.325795682506[nm]
z15 453.0001[nm]
theta15 0[degrees]
a16 574.7317394745104[nm]
b16 295.7894971289498[nm]
c16 435.2606183017301[nm]
x16 6043.65389627313[nm]
y16 5444.270697593606[nm]
z16 508.2607183017301[nm]
theta16 -107.34025823106899[degrees]
a17 343.50635148663525[nm]
b17 310.60812790731194[nm]
c17 327.0572396969736[nm]
x17 1391.6494954298091[nm]
y17 5579.740582237016[nm]
z17 468.0573396969736[nm]
theta17 -50.19442890773481[degrees]
a18 498.8466206763553[nm]
b18 348.6160296736291[nm]
c18 423.7313251749922[nm]
x18 5005.237657512735[nm]
y18 6086.220268872802[nm]
z18 423.7314251749922[nm]
theta18 -33.83754668421933[degrees]
a19 242.87912467807845[nm]
b19 98.97017743718494[nm]
c19 250[nm]
x19 9371.631944444445[nm]
y19 6247.951388888889[nm]
z19 531.0001[nm]
theta19 -79.01134890350603[degrees]
a20 250[nm]
b20 250[nm]
c20 250.0[nm]
x20 1012.489460370995[nm]
y20 7322.299903191555[nm]
z20 570.0001[nm]
theta20 0[degrees]
a21 250[nm]
b21 250[nm]
c21 250.0[nm]
x21 1551.8413122228467[nm]
y21 7361.651755043407[nm]
z21 251.0001[nm]
theta21 0[degrees]
a22 250[nm]
b22 250[nm]
c22 250.0[nm]
x22 2091.1931640746984[nm]
y22 7401.0036068952595[nm]
z22 545.0001[nm]
theta22 0[degrees]
a23 250[nm]
b23 250[nm]
c23 250.0[nm]
x23 2630.5450159265506[nm]
y23 7440.355458747112[nm]
z23 659.0001[nm]
theta23 0[degrees]
a24 324.1071411701322[nm]
b24 281.55228763438174[nm]
c24 302.82971440225697[nm]
x24 8325.857390623252[nm]
y24 8150.0853194584315[nm]
z24 614.8298144022569[nm]
theta24 -45.57872556560776[degrees]
a25 278.2884965487892[nm]
b25 264.21357543296807[nm]
c25 271.2510359908787[nm]
x25 1129.0972222222222[nm]
y25 8173.132716049384[nm]
z25 577.2511359908787[nm]
theta25 -78.97046877601952[degrees]
a26 423.76919737926005[nm]
b26 276.6373193319873[nm]
c26 350.2032583556237[nm]
x26 4200.211575211575[nm]
y26 8654.722904722905[nm]
z26 476.20335835562366[nm]
theta26 -114.18493403363269[degrees]
a27 805.1596781625494[nm]
b27 129.95989673720555[nm]
c27 467.5597874498775[nm]
x27 3331.270128824477[nm]
y27 9251.50630703167[nm]
z27 513.5598874498775[nm]
theta27 -176.0434804154554[degrees]
*****************
total_particles 27
total_volume_ellipsoids 3691000000.659855[nm^3]
x_length_prism 9240.98662530287[nm]
y_length_prism 10476.210805993345[nm]
z_length_prism 982.2293502781533[nm]
x_position_prism 373.52444381965245[nm]
y_position_prism -419.544820799124[nm]
volume_fraction 0.038815802322532594
