a1 586.6845700393204[nm]
b1 385.7222887360514[nm]
c1 491.1145751390767[nm]
x1 1011.0425525358969[nm]
y1 468.29358476613055[nm]
z1 491.11467513907667[nm]
theta1 -135.9495668564358[degrees]
a2 528.391658903604[nm]
b2 86.1471947496685[nm]
c2 307.2694268266363[nm]
x2 1712.6664510216185[nm]
y2 108.84683810448003[nm]
z2 370.20471518245216[nm]
theta2 -173.96471760338775[degrees]
a3 770.9584483046708[nm]
b3 183.35320692882271[nm]
c3 477.15582761674676[nm]
x3 6717.96395325807[nm]
y3 556.563534504711[nm]
z3 489.9614906869896[nm]
theta3 -45.36493633573065[degrees]
a4 395.0270649337566[nm]
b4 116.24888453231222[nm]
c4 255.6379747330344[nm]
x4 768.551508753409[nm]
y4 1403.3056215360255[nm]
z4 263.3515277551217[nm]
theta4 -35.45961819515736[degrees]
a5 247.59863493001006[nm]
b5 200.4287456897474[nm]
c5 250[nm]
x5 6079.338954338955[nm]
y5 1488.6039886039887[nm]
z5 702.0152176205618[nm]
theta5 -76.48343189120868[degrees]
a6 489.2973181709389[nm]
b6 432.9446361327326[nm]
c6 461.12097715183575[nm]
x6 7798.030752392049[nm]
y6 2633.6766938530523[nm]
z6 475.0336126321166[nm]
theta6 -159.5074052301297[degrees]
a7 250[nm]
b7 250[nm]
c7 250.0[nm]
x7 9007.87174414771[nm]
y7 4305.283547642598[nm]
z7 680.4311973907155[nm]
theta7 0[degrees]
a8 335.64814814814815[nm]
b8 253.24751158935456[nm]
c8 294.44782986875134[nm]
x8 5808.293650793651[nm]
y8 3909.3518518518517[nm]
z8 406.58559296528875[nm]
theta8 -53.13010235415598[degrees]
a9 416.38364873698885[nm]
b9 295.08214777736026[nm]
c9 355.73289825717455[nm]
x9 7538.177083333333[nm]
y9 4035.2199074074074[nm]
z9 576.3317479746607[nm]
theta9 -41.84515713520803[degrees]
a10 250[nm]
b10 250[nm]
c10 250.0[nm]
x10 5293.070185513334[nm]
y10 4515.945286692482[nm]
z10 666.7335067314382[nm]
theta10 0[degrees]
a11 250[nm]
b11 250[nm]
c11 250.0[nm]
x11 4790.755370698518[nm]
y11 5062.241582988778[nm]
z11 601.0116278065875[nm]
theta11 0[degrees]
a12 250[nm]
b12 250[nm]
c12 250.0[nm]
x12 3604.6387055001646[nm]
y12 4773.936906793617[nm]
z12 463.95037624144743[nm]
theta12 0[degrees]
a13 250[nm]
b13 250[nm]
c13 250.0[nm]
x13 3698.3887055001646[nm]
y13 5341.066536423246[nm]
z13 449.03871481344663[nm]
theta13 0[degrees]
a14 250[nm]
b14 250[nm]
c14 250.0[nm]
x14 3792.1387055001646[nm]
y14 5908.196166052877[nm]
z14 697.1898872026499[nm]
theta14 0[degrees]
a15 250[nm]
b15 250[nm]
c15 250.0[nm]
x15 3885.888705500165[nm]
y15 6475.325795682506[nm]
z15 513.4920150548525[nm]
theta15 0[degrees]
a16 574.7317394745104[nm]
b16 295.7894971289498[nm]
c16 435.2606183017301[nm]
x16 6043.65389627313[nm]
y16 5444.270697593606[nm]
z16 456.82903639674714[nm]
theta16 -107.34025823106899[degrees]
a17 343.50635148663525[nm]
b17 310.60812790731194[nm]
c17 327.0572396969736[nm]
x17 1391.6494954298091[nm]
y17 5579.740582237016[nm]
z17 647.2697840523215[nm]
theta17 -50.19442890773481[degrees]
a18 498.8466206763553[nm]
b18 348.6160296736291[nm]
c18 423.7313251749922[nm]
x18 5005.237657512735[nm]
y18 6086.220268872802[nm]
z18 475.58582001938953[nm]
theta18 -33.83754668421933[degrees]
a19 242.87912467807845[nm]
b19 98.97017743718494[nm]
c19 250[nm]
x19 9371.631944444445[nm]
y19 6247.951388888889[nm]
z19 594.8230487288055[nm]
theta19 -79.01134890350603[degrees]
