a1 308.8538675441818[nm]
b1 262.9158793785424[nm]
c1 285.8848734613621[nm]
x1 5755.395344453869[nm]
y1 224.01281688813498[nm]
z1 529.8848734613621[nm]
theta1 -129.98688624496418[degrees]
a2 437.2520150112881[nm]
b2 383.2790904010135[nm]
c2 410.2655527061508[nm]
x2 6891.3558705925125[nm]
y2 334.07488186114136[nm]
z2 518.2655527061509[nm]
theta2 -44.29268063145574[degrees]
a3 357.43617613566886[nm]
b3 142.50499772972879[nm]
c3 249.97058693269884[nm]
x3 12442.856754774388[nm]
y3 142.7290755480699[nm]
z3 329.97058693269884[nm]
theta3 -6.74557964748282[degrees]
a4 529.8749265581457[nm]
b4 224.51055221149227[nm]
c4 377.192739384819[nm]
x4 13455.602846656213[nm]
y4 207.12353316216635[nm]
z4 571.192739384819[nm]
theta4 -18.043412005331277[degrees]
a5 363.31788210419126[nm]
b5 97.83210395401754[nm]
c5 230.5749930291044[nm]
x5 15496.110735336748[nm]
y5 327.5678809546816[nm]
z5 234.5749930291044[nm]
theta5 -109.00598419603678[degrees]
a6 301.6233297729824[nm]
b6 236.6719999683587[nm]
c6 269.14766487067055[nm]
x6 15359.901824157081[nm]
y6 1111.1550221519647[nm]
z6 346.14766487067055[nm]
theta6 -38.32011393677745[degrees]
a7 360.09295841023027[nm]
b7 234.94790368023033[nm]
c7 356.51950248039753[nm]
x7 13010.472127782412[nm]
y7 1350.5997818974918[nm]
z7 552.5195024803975[nm]
theta7 -74.61153216724101[degrees]
a8 270.1039085947196[nm]
b8 210.78933238906987[nm]
c8 240.44662049189475[nm]
x8 3668.27681141284[nm]
y8 1266.2245025653863[nm]
z8 591.4466204918947[nm]
theta8 -47.29061004263853[degrees]
a9 229.97258869690407[nm]
b9 160.05266234135746[nm]
c9 233.6841338365329[nm]
x9 12608.947395752193[nm]
y9 1680.5057901023006[nm]
z9 715.684133836533[nm]
theta9 -59.17233770013197[degrees]
a10 266.15006963275385[nm]
b10 178.76399077960008[nm]
c10 245.9768236826358[nm]
x10 10454.082172083483[nm]
y10 1758.1992345266542[nm]
z10 724.9768236826358[nm]
theta10 -99.7066524093397[degrees]
a11 528.6614358015499[nm]
b11 359.80361295518577[nm]
c11 491.20005432885546[nm]
x11 10970.164736658136[nm]
y11 2039.723973073844[nm]
z11 499.20005432885546[nm]
theta11 -49.236394799058836[degrees]
a12 592.3044352562633[nm]
b12 242.3889512871363[nm]
c12 417.3466932716998[nm]
x12 9107.893405683804[nm]
y12 2088.866918053895[nm]
z12 473.3466932716998[nm]
theta12 -153.60006588603306[degrees]
a13 332.0610687022901[nm]
b13 269.94205664254844[nm]
c13 301.00156267241925[nm]
x13 10167.748620244869[nm]
y13 2663.107145122751[nm]
z13 662.0015626724193[nm]
theta13 -46.39718102729638[degrees]
a14 296.2207974991152[nm]
b14 169.14926915204785[nm]
c14 327.47023642243494[nm]
x14 7668.173410103432[nm]
y14 2886.7467368366206[nm]
z14 432.47023642243494[nm]
theta14 -40.54439716667368[degrees]
a15 405.40747903133496[nm]
b15 337.88867210158526[nm]
c15 371.6480755664601[nm]
x15 9509.923664122138[nm]
y15 3000.705901666256[nm]
z15 437.6480755664601[nm]
theta15 -41.94711748520758[degrees]
a16 209.74046485105464[nm]
b16 169.4533774967282[nm]
c16 266.8300049831955[nm]
x16 7854.118016444592[nm]
y16 3222.551462940796[nm]
z16 609.8300049831955[nm]
theta16 -130.27986306895644[degrees]
a17 527.2368125869259[nm]
b17 435.9853228452714[nm]
c17 486.4758259758572[nm]
x17 12322.47352542167[nm]
y17 3467.6433069431228[nm]
z17 497.4758259758572[nm]
theta17 -26.381411486958214[degrees]
a18 562.0544904871683[nm]
b18 176.48287056025788[nm]
c18 369.2686805237131[nm]
x18 13523.015381794008[nm]
y18 3578.6855557847925[nm]
z18 476.2686805237131[nm]
